ICD10,PHECODE,Excl. Phecodes,Excl. Phenotypes
Z73.8,389,387-389.99, Hearing loss and related disorders
P74.3,656.3,656-656.99,Other and unspecified perinatal conditions
F23.0,291.1,290-292.99, dementia and related cognitive disorders/symptoms
H25-H28.9,379.3,375-379.99, other eye disorders
S14,952,950-957.99,Injury to nerves and spinal cord
B87.0,132,130-136.99, Other infections; including parasitic
T01.6,1009,,
N80.2,615,614-616.99,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS
J16.0,480.1,480-488.99, Pneumonia and influenza
K42.0,550.4,550-550.99, Abdominal hernia
S96.7,1009,,
F18.5,290.3,290-292.99, dementia and related cognitive disorders/symptoms
O30.1,651,651-651.99,Multiple gestation
M70.2,726.3,725-729.99,"Rheumatism, Excluding The Back"
H81.1,386.2,386-386.99, conditions associated with dizziness or vertigo
C05.1,145,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
S04.4,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
A20.7,38.1,,
I60.4,430.1,430-438.99,CEREBROVASCULAR DISEASE
P12.8,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
T52,981,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
D81.6,279.1,279-279.99,Other Immune Disorders
L24,939,930-949.99, allergic reactions
H66,381.11,381-385.99, otitis media and related conditions
I06.1,394.3,394-399.99, heart valve disorders
B76,134,130-136.99, Other infections; including parasitic
T59.4,987,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
H51.9,378,375-379.99, other eye disorders
X32,1014,,
G97.1,967,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
B80,134.1,130-136.99, Other infections; including parasitic
I63.0,433.21,430-438.99,CEREBROVASCULAR DISEASE
P71.2,656.3,656-656.99,Other and unspecified perinatal conditions
D21.1,215,214-215.99,Lipoma and Other benign neoplasm of connective and other soft tissue
S75.8,1007,,
C20,153.3,"150-159.99, 208-208.99", GI cancer; benign neoplasms of colon
C01,145.2,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
O33.0,649,649-649.99," Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium"
T00.0,915,910-919.99,"superficial, contusion, crushing injuries"
J15.4,480.1,480-488.99, Pneumonia and influenza
C25.1,157,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
P74.2,656.3,656-656.99,Other and unspecified perinatal conditions
Q20,747.1,747-747.99," congenital anomalies, circulatory and cardiac"
C18.9,153.2,"150-159.99, 208-208.99", GI cancer; benign neoplasms of colon
I95,458.9,458-459.99, other circulatory symptoms/findings/disorders
O70.9,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
Q32,748,748-749.99," congenital anomalies of respiratory system, face and neck"
P35.1,657,657-657.99,Infections specific to the perinatal period
A75.0,136,130-136.99, Other infections; including parasitic
I32.1,420.2,420-425.99, Other peri-; endo-; and myocarditis
T45.4,964,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
T30.0,1000,,
Z37.6,651,651-651.99,Multiple gestation
I62.0,430.3,430-438.99,CEREBROVASCULAR DISEASE
C49.2,170.2,170-171.99,"Cancer of bone, connective tissue"
M92,732.1,730-739.99,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
C16.1,151,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
K73,70.4,,
E02,244.2,240-246.99,DISORDERS OF THYROID GLAND
Z37.4,634,634-636.99,complications of pregnancy
M94.3,733,730-739.99,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
N43.2,603.1,600-609.99, male genital disorders
E61.1,262,260-264.99,Nutritional deficiencies
X16,1014,,
H72.8,384.4,381-385.99, otitis media and related conditions
C83.5,202.2,200-204.99, cancer of lymphatic and hematopoietic tissue
Q25.9,747.13,747-747.99," congenital anomalies, circulatory and cardiac"
I50,428.2,428-429.99, Heart failure
H60.9,380.1,380-380.99, disorders of external ear
R96.0,1003,,
M18.5,740.12,740-740.99, osteoarthritis
Q21.0,747.11,747-747.99," congenital anomalies, circulatory and cardiac"
P71.0,656.3,656-656.99,Other and unspecified perinatal conditions
S86.3,1009,,
J12.9,480.2,480-488.99, Pneumonia and influenza
Z43.6,599,599-599.99, Other symptoms/disorders or the urinary system
F44.7,303.1,295-306.99, psychological disorders
T88.6,946,930-949.99, allergic reactions
A71.9,369,369-374.99, infection/inflammation of eye
K29.3,535.8,535-537.99, disorders of stomach
C83.2,202.23,200-204.99, cancer of lymphatic and hematopoietic tissue
I30.1,420.21,420-425.99, Other peri-; endo-; and myocarditis
T22.1,1000,,
Y58,941,930-949.99, allergic reactions
E10.9,250.1,249-250.99,DIABETES
T88.6,1011,,
C83.2,202.2,200-204.99, cancer of lymphatic and hematopoietic tissue
C00.4,145.1,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
M86,710.19,710-716.99,Arthropathies
C08.1,145.3,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
M46,715,"714-716.00, 696-696.99", Autoimmune arthritis and psoriasis
T20.5,1000,,
E22,253.1,251-259.99,Other endocrine disorders
R19.2,561,555-564.99, noninfective gastrointestinal disorders
P96.3,656,656-656.99,Other and unspecified perinatal conditions
A02.1,38.1,,
I45.0,426.31,426-427.99, cardiac conduction disorders
I82.8,452,450-457.99, diseases of veins and lymphatics
F34.0,301,295-306.99, psychological disorders
D22.9,216,216-217.99,Benign neoplasm of skin
D42,191,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
B42.0,117,110-118.99, Mycoses
K83,575.8,574-576.99, Biliary tract disease
D86.9,697,690-697.99, Other inflammatory condition of skin
G63.8,357,356-359.99, Disorders of the peripheral nervous system
P37.3,657,657-657.99,Infections specific to the perinatal period
Q45.3,750.22,750-751.99," congenital anomalies of gi, urinary tract"
O23.5,647.1,647-647.99, Infectious and parasitic complications affecting pregnancy
T20.0,1000,,
S24.0,952,950-957.99,Injury to nerves and spinal cord
T87.5,874,870-879.99, Open wound
E61.9,263,260-264.99,Nutritional deficiencies
I21.4,411.2,410-414.99,ISCHEMIC HEART DISEASE
N14.4,580.32,580-590.99, diseases of kidney and ureters
D83.9,279.11,279-279.99,Other Immune Disorders
B68.1,134.1,130-136.99, Other infections; including parasitic
S82.6,801,800-809.99, Fractures
A22.2,8,,
P50,656.4,656-656.99,Other and unspecified perinatal conditions
B70,134.1,130-136.99, Other infections; including parasitic
T25.6,1000,,
H72.1,384.4,381-385.99, otitis media and related conditions
F20.4,296.2,295-306.99, psychological disorders
R82.5,598.9,598-598.99, Nonspecific findings on examination of urine
N74.4,614.33,614-616.99,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS
L92.8,686.4,680-686.99, Skin and subcutaneous tissue infections
R04.2,516.1,516-516.99, Abnormal sputum
T84.2,858,850-859.99, Complications
Y62.1,1011,,
J98.2,508,500-509.99, Pneumoconioses and other lung diseases
N04.9,580.2,580-590.99, diseases of kidney and ureters
M91,732.1,730-739.99,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
K80.3,574.1,574-576.99, Biliary tract disease
M48.3,721,720-724.99,DORSOPATHIES
T42.6,966,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
N04.9,580,580-590.99, diseases of kidney and ureters
E88,277,277-277.99,Other/unspecified disorders of metabolism
F20.4,296.22,295-306.99, psychological disorders
N83.6,619.1,619-619.99, Other noninflammatory female genital disorders
A66.5,130,130-136.99, Other infections; including parasitic
C88,204.4,200-204.99, cancer of lymphatic and hematopoietic tissue
A05.3,8.5,,
T18.3,1001,,
A36.1,465,460-469.99, acute upper respiratory infections
I65.3,433.1,430-438.99,CEREBROVASCULAR DISEASE
P94.9,656,656-656.99,Other and unspecified perinatal conditions
S04.9,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
E13.8,250.2,249-250.99,DIABETES
N74.4,90.3,,
G95.2,334,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
S54.3,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
S03.1,830,830-839.99, joint disorders and dislocations; trauma-related
O80.0,650,650-650.99,Normal delivery
J40,497,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
Q17.5,749,748-749.99," congenital anomalies of respiratory system, face and neck"
S03.0,830,830-839.99, joint disorders and dislocations; trauma-related
Q21.3,747.11,747-747.99," congenital anomalies, circulatory and cardiac"
Z88.4,967,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
L30.2,939,930-949.99, allergic reactions
E05.5,242,240-246.99,DISORDERS OF THYROID GLAND
R05,512.8,512-512.99, Other symptoms of respiratory system
E61.5,262,260-264.99,Nutritional deficiencies
C06,145,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
Z88.1,960,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
T35.0,1014,,
I45.6,426.4,426-427.99, cardiac conduction disorders
A49.1,41.2,,
G40.6,345.3,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
A96.0,79,,
I23.8,411.2,410-414.99,ISCHEMIC HEART DISEASE
F06.7,292.2,290-292.99, dementia and related cognitive disorders/symptoms
C48.1,159.4,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
C67.8,189.21,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
M76.7,726.1,725-729.99,"Rheumatism, Excluding The Back"
M31.1,446.8,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
S40.0,916,916-916.99, Contusion
B34.9,79,,
E85.4,270.33,269-270.99, Disorders of amino-acid transport/metabolism
O24.1,649.1,649-649.99," Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium"
F20.0,295.1,295-306.99, psychological disorders
C15.5,150,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
C48.8,159.4,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
D81.5,277.2,277-277.99,Other/unspecified disorders of metabolism
R44.1,368.9,368-368.99,Visual disturbances/defects
T85,859,850-859.99, Complications
R23.1,782.6,782-782.99,Symptoms involving skin and other integumentary tissue
G90.2,337,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
F70.1,315.3,312-315.99,Developmental/behavioral disorders
K82.3,575.7,574-576.99, Biliary tract disease
R77.0,790,790-790.99,Nonspecific findings on examination of blood
K07.0,526.3,520-526.99, Disorders of teeth and jaw
B05.0,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
G61.0,357,356-359.99, Disorders of the peripheral nervous system
A26.7,994.2,994-994.99, Sepsis and SIRS
M88.0,731.1,730-739.99,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
S71.8,870,870-879.99, Open wound
K41.0,550.3,550-550.99, Abdominal hernia
O75.8,669,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
H43.9,379.2,375-379.99, other eye disorders
C88.1,204.4,200-204.99, cancer of lymphatic and hematopoietic tissue
C32.1,149.4,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
M18.0,740.11,740-740.99, osteoarthritis
M48.0,720,720-724.99,DORSOPATHIES
H65.2,381.1,381-385.99, otitis media and related conditions
D22.3,216,216-217.99,Benign neoplasm of skin
O66.0,652,652-654.99,Other and unspecified complications of birth affecting mother
R89.3,1010,,
D22.3,229,229-229.99,Benign neoplasm of other and unspecified sites
A26.7,41,,
M89.4,731,730-739.99,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
C50.8,174.11,"174-184.99, 610-610.99", cancer of female genital organs; breast dysplasia
N42.1,602,"185-187.99, 796-796.99, 600-602.99", male genital disorders/cancer/neoplasms; elevated psa
B30.3,369.2,369-374.99, infection/inflammation of eye
C93.9,204.3,200-204.99, cancer of lymphatic and hematopoietic tissue
F44.1,303.1,295-306.99, psychological disorders
G61,357,356-359.99, Disorders of the peripheral nervous system
F90,313.1,312-315.99,Developmental/behavioral disorders
S06.9,819,816-819.99, Intracranial injury
T41.3,967,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
T62.2,988,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
B88,132,130-136.99, Other infections; including parasitic
L50.8,947,930-949.99, allergic reactions
F10.9,317,316-319.99, Substance-related disorders
D16.8,213,210-229.99,Benign Neoplasms
I31,420.2,420-425.99, Other peri-; endo-; and myocarditis
F63,312.3,312-315.99,Developmental/behavioral disorders
R46.1,1019,,
G95.9,334,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
S48.0,872,870-879.99, Open wound
L85.1,701.1,700-701.99, hypertrophic skin conditions
H47.7,377,375-379.99, other eye disorders
E73.8,271.3,271-271.99,Disorders of carbohydrate transport &amp; metabolism
M95.8,738,735-739.99, Acquired deformities
T79.2,958,958-959.99,Certain traumatic complications and unspecified injuries
Q28.2,747.2,747-747.99," congenital anomalies, circulatory and cardiac"
L91.0,701.4,700-701.99, hypertrophic skin conditions
Q38.6,750.13,750-751.99," congenital anomalies of gi, urinary tract"
Z20.5,1010,,
H31.3,363,360-365.99, Degenerative disorders of the eye
O21.1,643.1,643-643.99,Excessive vomiting in pregnancy
T66-T78.9,1015,,
A92.1,79,,
D04.3,172.3,172-173.99,Malignant neoplasm of skin
S42.8,1009,,
K21.0,530.14,"530-530.99, 532-532.99", esophageal disorders
P72.0,656.3,656-656.99,Other and unspecified perinatal conditions
P91.0,656,656-656.99,Other and unspecified perinatal conditions
S05.7,870.1,870-879.99, Open wound
D42.9,191,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
T66-T78.9,990,990-995.99,Other and unspecified effects of external causes
M17.1,740.11,740-740.99, osteoarthritis
L70,706.1,705-706.99, disorders of sweat and sebaceous glands
S57.9,1006,,
Q79.2,756.1,754-756.99, congenital musculoskeletal anomalies
H04.1,375,375-379.99, other eye disorders
Q34,748,748-749.99," congenital anomalies of respiratory system, face and neck"
Q62.1,751.3,750-751.99," congenital anomalies of gi, urinary tract"
P15.9,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
G21.2,349,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
A24.3,41,,
T24.5,1000,,
I30.8,420.21,420-425.99, Other peri-; endo-; and myocarditis
Q23.4,747.12,747-747.99," congenital anomalies, circulatory and cardiac"
S62.8,804,800-809.99, Fractures
C24.9,159.3,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
N75.0,614.53,614-616.99,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS
I87.1,459,458-459.99, other circulatory symptoms/findings/disorders
O63.9,661,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
P92.4,656.3,656-656.99,Other and unspecified perinatal conditions
F95.2,313.2,312-315.99,Developmental/behavioral disorders
R43.1,350.6,350-350.99," Other symptoms, reflex"
E74.1,271.9,271-271.99,Disorders of carbohydrate transport &amp; metabolism
T59.3,987,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
K02.0,521.1,520-526.99, Disorders of teeth and jaw
A48.3,41,,
S01.2,870.4,870-879.99, Open wound
O92.2,676,670-677.99,COMPLICATIONS OF THE PUERPERIUM
K56.4,560.2,555-564.99, noninfective gastrointestinal disorders
O47.9,636,634-636.99,complications of pregnancy
B65.2,134,130-136.99, Other infections; including parasitic
F81.1,315.1,312-315.99,Developmental/behavioral disorders
K29.9,535,535-537.99, disorders of stomach
C67,189.21,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
N00.4,580.11,580-590.99, diseases of kidney and ureters
R94.2,514.1,514-514.99, Abnormal findings examination of lungs
R27.0,350.3,350-350.99," Other symptoms, reflex"
D55-D59.9,282.9,280-285.99,Anemias
N25.1,588,580-590.99, diseases of kidney and ureters
M53.8,742.9,741-742.99, other non-traumatic joint disorders
G45.4,433,430-438.99,CEREBROVASCULAR DISEASE
S27,1008,,
E79.0,790.6,790-790.99,Nonspecific findings on examination of blood
Z95.9,426.9,426-427.99, cardiac conduction disorders
T26-T28.9,1000,,
F01.3,290.16,290-292.99, dementia and related cognitive disorders/symptoms
I47,427.1,426-427.99, cardiac conduction disorders
E35.1,255,251-259.99,Other endocrine disorders
A02.8,8.5,,
A06.6,8,,
S31.0,870,870-879.99, Open wound
G54.5,353.1,351-355.99, mononeuritis and nerve lesions
L60,703,703-704.99, Diseases of hair and nails
M77.9,726.1,725-729.99,"Rheumatism, Excluding The Back"
L67.1,704,703-704.99, Diseases of hair and nails
J00-J06.9,465,460-469.99, acute upper respiratory infections
N20,594,594-595.99, urinary calculus
L93.2,695.41,"690-697.99, 335-335.99"," other inflammatory condition of skin, MS"
T67.9,1014,,
A32.8,41,,
S00.3,915,910-919.99,"superficial, contusion, crushing injuries"
Z85.2,165,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
G71.3,359.2,356-359.99, Disorders of the peripheral nervous system
E16.9,251,251-259.99,Other endocrine disorders
Z33,656,656-656.99,Other and unspecified perinatal conditions
Q37.8,749.1,747-759.99,
O66.3,652,652-654.99,Other and unspecified complications of birth affecting mother
Q95.5,758.1,756-759.99, All other congenital anomalies
N85.4,619.2,619-619.99, Other noninflammatory female genital disorders
A54.3,90.2,,
D25.2,218.1,"217-223.99, 180-184.99"," benign neoplasm of breast, ovary, uterus, and other genitourinary organs; uterine/ovarian cancer"
P61.5,656.5,656-656.99,Other and unspecified perinatal conditions
E78.9,272.9,272-272.99,Disorders of lipoid metabolism
R89.1,1010,,
J67.5,500.1,500-509.99, Pneumoconioses and other lung diseases
F63.3,315,312-315.99,Developmental/behavioral disorders
F63.3,312.3,312-315.99,Developmental/behavioral disorders
N04,580,580-590.99, diseases of kidney and ureters
S95,1007,,
B82.9,134,130-136.99, Other infections; including parasitic
B67.6,134.1,130-136.99, Other infections; including parasitic
M95.1,738,735-739.99, Acquired deformities
O33.1,652,652-654.99,Other and unspecified complications of birth affecting mother
N04,580.2,580-590.99, diseases of kidney and ureters
L26,695.8,690-697.99, Other inflammatory condition of skin
L26,695.9,690-697.99, Other inflammatory condition of skin
G82.1,344,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
H05,376,375-379.99, other eye disorders
Q37,749.1,747-759.99,
L83,701.6,700-701.99, hypertrophic skin conditions
E14.6,250,249-250.99,DIABETES
O26.1,646,646-646.99, Other complications of pregnancy NEC
C45.1,159.4,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
O41.1,653,652-654.99,Other and unspecified complications of birth affecting mother
O35.0,655,655-655.99,Known or suspected fetal abnormality (mother)
S46.0,726,725-729.99,"Rheumatism, Excluding The Back"
D16.0,213,210-229.99,Benign Neoplasms
H25.0,366.2,366-366.99,Cataract
Q83.9,612.3,610-613.99, nonmalignant breast conditions
S78,872,870-879.99, Open wound
I66.0,433.2,430-438.99,CEREBROVASCULAR DISEASE
D04.8,172.3,172-173.99,Malignant neoplasm of skin
N60,610.8,610-613.99, nonmalignant breast conditions
E63,263,260-264.99,Nutritional deficiencies
I35.0,747.13,747-747.99," congenital anomalies, circulatory and cardiac"
C16.8,151,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
G37.0,341,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
N35.9,597.1,595-597.99, other diseases of urinary system
J41.0,496.2,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
L74.4,705,705-706.99, disorders of sweat and sebaceous glands
L08.8,686,680-686.99, Skin and subcutaneous tissue infections
D52.0,281.13,280-285.99,Anemias
D35.9,227,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
A18.1,10,,
K23.1,133,130-136.99, Other infections; including parasitic
O64,652,652-654.99,Other and unspecified complications of birth affecting mother
S58.1,872,870-879.99, Open wound
H40.9,365,360-365.99, Degenerative disorders of the eye
G54.1,353.1,351-355.99, mononeuritis and nerve lesions
L62.0,731,730-739.99,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
S91.2,871.4,870-879.99, Open wound
D30.3,223,210-229.99,Benign Neoplasms
S33.7,1009,,
E66.1,278.1,278-278.99, Obesity
Y55.0,975,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
L24.0,939,930-949.99, allergic reactions
Q41.1,750.21,750-751.99," congenital anomalies of gi, urinary tract"
S33.7,915,910-919.99,"superficial, contusion, crushing injuries"
R06.1,479,470-479.99, other/chronic upper respiratory disease
I66.4,433.2,430-438.99,CEREBROVASCULAR DISEASE
S46.8,1009,,
K46.0,550,550-550.99, Abdominal hernia
K12.0,528.12,527-529.99, Diseases of mouth; excluding dental
E73.9,271.3,271-271.99,Disorders of carbohydrate transport &amp; metabolism
D17,214,214-215.99,Lipoma and Other benign neoplasm of connective and other soft tissue
Z90.8,175,"174-184.99, 610-611.99",
D61.3,284,280-285.99,Anemias
I31.0,420.22,420-425.99, Other peri-; endo-; and myocarditis
M65.3,727.1,725-729.99,"Rheumatism, Excluding The Back"
B87.1,132,130-136.99, Other infections; including parasitic
C43.9,172.11,172-173.99,Malignant neoplasm of skin
J70.9,500,500-509.99, Pneumoconioses and other lung diseases
D01.3,153.3,"150-159.99, 208-208.99", GI cancer; benign neoplasms of colon
I09.0,420.1,420-425.99, Other peri-; endo-; and myocarditis
M65.3,709.7,"690-697.99, 708-709.99",
P54,656.4,656-656.99,Other and unspecified perinatal conditions
C53,180.1,"174-184.99, 218-218.99, 792-792.99", cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear
I60.2,430.1,430-438.99,CEREBROVASCULAR DISEASE
J30.3,476,470-479.99, other/chronic upper respiratory disease
R83.2,346.3,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
Q11,753,752-754.99," congenital anomalies of nervous system, spine"
Q30-Q34.9,748,748-749.99," congenital anomalies of respiratory system, face and neck"
Q26.6,747.2,747-747.99," congenital anomalies, circulatory and cardiac"
D01.2,153.3,"150-159.99, 208-208.99", GI cancer; benign neoplasms of colon
M65.3,1010,,
S13.1,830,830-839.99, joint disorders and dislocations; trauma-related
H00.1,371.3,369-374.99, infection/inflammation of eye
K01.0,520.2,520-526.99, Disorders of teeth and jaw
S17.8,1006,,
Y53,973,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
O02.8,634,634-636.99,complications of pregnancy
T59.2,989,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
K66.1,568,565-569.99, Other gastrointestinal
R27.8,350.3,350-350.99," Other symptoms, reflex"
Q98.4,758.1,756-759.99, All other congenital anomalies
M96.4,737.2,735-739.99, Acquired deformities
T59.2,987,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
H26.2,366,366-366.99,Cataract
S78.0,872,870-879.99, Open wound
S05.9,870.1,870-879.99, Open wound
S05.9,915,910-919.99,"superficial, contusion, crushing injuries"
H34.2,362.4,"250.70-250.79,360-365.99", diabetic retinopathy and degenerative disorders of the eye
Q96.9,758.1,756-759.99, All other congenital anomalies
S49.9,1009,,
L90.3,701,700-701.99, hypertrophic skin conditions
S05.9,916,916-916.99, Contusion
M66.2,727.6,725-729.99,"Rheumatism, Excluding The Back"
S86.2,1009,,
C53.1,180.1,"174-184.99, 218-218.99, 792-792.99", cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear
I42.8,425.1,420-425.99, Other peri-; endo-; and myocarditis
M03.0,711,710-716.99,Arthropathies
J67.6,500.1,500-509.99, Pneumoconioses and other lung diseases
C92.3,204.2,200-204.99, cancer of lymphatic and hematopoietic tissue
T28.8,1000,,
M12.1,716.3,710-716.99,Arthropathies
M85.0,733.2,730-739.99,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
C00-C97.9,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
Q10,749,748-749.99," congenital anomalies of respiratory system, face and neck"
S72.3,800,800-809.99, Fractures
S22.1,809,800-809.99, Fractures
C50,174.11,"174-184.99, 610-610.99", cancer of female genital organs; breast dysplasia
S72.3,800.2,800-809.99, Fractures
P02.2,658,658-658.99,Maternal complication of pregnancy affecting fetus or newborn
L24.2,939,930-949.99, allergic reactions
L73.8,704.8,703-704.99, Diseases of hair and nails
G46.0,433.31,430-438.99,CEREBROVASCULAR DISEASE
B37.0,112,110-118.99, Mycoses
M01.4,711,710-716.99,Arthropathies
M20.1,735.3,735-739.99, Acquired deformities
S51,871,870-879.99, Open wound
D75,289,288-289.99,Other diseases of the blood
B94.8,136,130-136.99, Other infections; including parasitic
Z86.2,289.3,288-289.99,Other diseases of the blood
Z86.2,277,277-277.99,Other/unspecified disorders of metabolism
G52,352,351-355.99, mononeuritis and nerve lesions
C63.9,187.1,"185-187.99, 222-222.99", cancer/benign neoplasm of male genital organs
C47.0,170.2,170-171.99,"Cancer of bone, connective tissue"
T81.4,80,,
F48.0,300,295-306.99, psychological disorders
Q21.2,747.11,747-747.99," congenital anomalies, circulatory and cardiac"
T60.2,989,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
E63.8,263,260-264.99,Nutritional deficiencies
N06.9,269,269-270.99, Disorders of amino-acid transport/metabolism
Q25.2,747.12,747-747.99," congenital anomalies, circulatory and cardiac"
A23.3,41,,
A99,79,,
C91.2,204.1,200-204.99, cancer of lymphatic and hematopoietic tissue
I65,433.1,430-438.99,CEREBROVASCULAR DISEASE
B34.4,79,,
N08.2,580.2,580-590.99, diseases of kidney and ureters
Q04.3,752.2,752-754.99," congenital anomalies of nervous system, spine"
S10.7,915,910-919.99,"superficial, contusion, crushing injuries"
H22,379.5,375-379.99, other eye disorders
N10-N16.9,590,590-593.99, Urinary tract infections
J94,507,500-509.99, Pneumoconioses and other lung diseases
K02.1,521.1,520-526.99, Disorders of teeth and jaw
M36.0,709.5,"690-697.99, 708-709.99",
I42.0,425.1,420-425.99, Other peri-; endo-; and myocarditis
L02.9,686.1,680-686.99, Skin and subcutaneous tissue infections
N81.3,618.2,617-618.99, prolapse/fistula and other disorders often associated with childbirth
P96.8,656,656-656.99,Other and unspecified perinatal conditions
T44.0,971,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
S72.1,800.2,800-809.99, Fractures
N47,604.1,600-609.99, male genital disorders
L44.0,696.3,690-697.99, Other inflammatory condition of skin
D56,282.8,280-285.99,Anemias
D46.1,200,200-204.99, cancer of lymphatic and hematopoietic tissue
B43.1,117,110-118.99, Mycoses
E71.1,270.1,269-270.99, Disorders of amino-acid transport/metabolism
B37.4,112,110-118.99, Mycoses
B01.0,320,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B24,71.1,,
B67.2,134.1,130-136.99, Other infections; including parasitic
R46.2,1019,,
C91.7,204.1,200-204.99, cancer of lymphatic and hematopoietic tissue
C72.5,191.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
S72.1,800.1,800-809.99, Fractures
D02.2,165.1,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
M24.6,741.1,741-742.99, other non-traumatic joint disorders
O44.0,635.2,634-636.99,complications of pregnancy
O65.8,652,652-654.99,Other and unspecified complications of birth affecting mother
