"phecode","phenotype","phecode_exclude_range","sex","rollup","leaf","category_number","category"
"269","Proteinuria","269-270.99","Both",1,1,3,"endocrine/metabolic"
"270","Disorders of protein plasma/amino-acid transport and metabolism","269-270.99","",1,0,3,"endocrine/metabolic"
"270.1","Disturbances of amino-acid transport","269-270.99","Both",1,0,3,"endocrine/metabolic"
"270.11","Disturbances of sulphur-bearing amino-acid metabolism","269-270.99","Both",1,1,3,"endocrine/metabolic"
"270.12","Phenylketonuria [PKU]","269-270.99","Both",1,1,3,"endocrine/metabolic"
"270.2","Disorders of amino-acid metabolism","269-270.99","Both",1,0,3,"endocrine/metabolic"
"270.21","Disorders of urea cycle metabolism","269-270.99","Both",1,1,3,"endocrine/metabolic"
"270.3","Disorders of plasma protein metabolism","269-270.99","Both",1,0,3,"endocrine/metabolic"
"270.31","Polyclonal hypergammaglobulinemia","269-270.99","Both",1,1,3,"endocrine/metabolic"
"270.32","Paraproteinemia","269-270.99","Both",1,1,3,"endocrine/metabolic"
"270.33","Amyloidosis","269-270.99","Both",0,1,3,"endocrine/metabolic"
"270.34","Alpha-1-antitrypsin deficiency","269-270.99","Both",1,1,3,"endocrine/metabolic"
"270.35","Macroglobulinemia","269-270.99","Both",1,1,3,"endocrine/metabolic"
"270.38","Other specified disorders of plasma protein metabolism","269-270.99","Both",1,1,3,"endocrine/metabolic"
"271","Disorders of carbohydrate transport and metabolism","271-271.99","",1,0,3,"endocrine/metabolic"
"271.3","Intestinal disaccharidase deficiencies and disaccharide malabsorption","271-271.99","Both",1,1,3,"endocrine/metabolic"
"271.9","Other disorders of carbohydrate transport and metabolism","271-271.99","Both",1,1,3,"endocrine/metabolic"
"272","Disorders of lipoid metabolism","272-272.99","",1,0,3,"endocrine/metabolic"
"272.1","Hyperlipidemia","272-272.99","",1,0,3,"endocrine/metabolic"
"272.11","Hypercholesterolemia","272-272.99","Both",1,1,3,"endocrine/metabolic"
"272.12","Hyperglyceridemia","272-272.99","Both",1,1,3,"endocrine/metabolic"
"272.13","Mixed hyperlipidemia","272-272.99","Both",1,1,3,"endocrine/metabolic"
"272.14","Hyperchylomicronemia","272-272.99","Both",1,1,3,"endocrine/metabolic"
"272.9","Unspecified disorder of lipoid metabolism","272-272.99","Both",1,1,3,"endocrine/metabolic"
"274","Gout and other crystal arthropathies","274-274.99","",1,0,3,"endocrine/metabolic"
"274.1","Gout","274-274.99","Both",1,0,3,"endocrine/metabolic"
"274.11","Gouty arthropathy","274-274.99","Both",1,1,3,"endocrine/metabolic"
"274.2","Crystal arthropathies","274-274.99","Both",1,0,3,"endocrine/metabolic"
"274.21","Chondrocalcinosis","274-274.99","Both",1,1,3,"endocrine/metabolic"
"275","Disorders of mineral metabolism","275-275.99","",1,0,3,"endocrine/metabolic"
"275.1","Disorders of iron metabolism","275-275.99","",1,0,4,"hematopoietic"
"275.11","Hereditary hemochromatosis","275-275.99","Both",1,1,4,"hematopoietic"
"275.2","Disorders of copper metabolism","275-275.99","",1,1,3,"endocrine/metabolic"
"275.3","Disorders of magnesium metabolism","275-275.99","",1,1,3,"endocrine/metabolic"
"275.5","Disorders of calcium/phosphorus metabolism","275-275.99","",1,0,3,"endocrine/metabolic"
"275.51","Hypocalcemia","275-275.99","Both",1,1,3,"endocrine/metabolic"
"275.53","Disorders of phosphorus metabolism","275-275.99","Both",1,1,3,"endocrine/metabolic"
"275.6","Hypercalcemia","275-275.99","Both",1,1,3,"endocrine/metabolic"
"276","Disorders of fluid, electrolyte, and acid-base balance","276-276.99","Both",1,0,3,"endocrine/metabolic"
"276.1","Electrolyte imbalance","276-276.99","Both",1,0,3,"endocrine/metabolic"
"276.11","Hyperosmolality and/or hypernatremia","276-276.99","Both",1,1,3,"endocrine/metabolic"
"276.12","Hyposmolality and/or hyponatremia","276-276.99","Both",1,1,3,"endocrine/metabolic"
"276.13","Hyperpotassemia","276-276.99","Both",1,1,3,"endocrine/metabolic"
"276.14","Hypopotassemia","276-276.99","Both",1,1,3,"endocrine/metabolic"
"276.4","Acid-base balance disorder","276-276.99","Both",0,0,3,"endocrine/metabolic"
"276.41","Acidosis","276-276.99","Both",1,1,3,"endocrine/metabolic"
"276.42","Alkalosis","276-276.99","Both",1,1,3,"endocrine/metabolic"
"276.5","Hypovolemia","276-276.99","Both",1,1,3,"endocrine/metabolic"
"276.6","Fluid overload","276-276.99","Both",1,1,3,"endocrine/metabolic"
"276.8","Polydipsia","276-276.99","Both",0,1,3,"endocrine/metabolic"
"277","Other disorders of metabolism","277-277.99","",1,0,3,"endocrine/metabolic"
"277.1","Disorders of porphyrin metabolism","277-277.99","Both",1,1,3,"endocrine/metabolic"
"277.2","Other disorders of purine and pyrimidine metabolism","277-277.99","Both",1,1,3,"endocrine/metabolic"
"277.4","Disorders of bilirubin excretion","277-277.99","",0,1,3,"endocrine/metabolic"
"277.5","Other disorders of lipoid metabolism","277-277.99","",0,0,3,"endocrine/metabolic"
"277.51","Lipoprotein disorders","277-277.99","Both",1,1,3,"endocrine/metabolic"
"277.6","Other deficiencies of circulating enzymes","277-277.99","",0,1,3,"endocrine/metabolic"
"277.7","Dysmetabolic syndrome X","277-277.99","",0,1,3,"endocrine/metabolic"
"277.8","Carnitine deficiencies","277-277.99","",1,1,3,"endocrine/metabolic"
"278","Overweight, obesity and other hyperalimentation","278-278.99","Both",1,0,3,"endocrine/metabolic"
"278.1","Obesity","278-278.99","Both",1,0,3,"endocrine/metabolic"
"278.11","Morbid obesity","278-278.99","Both",1,1,3,"endocrine/metabolic"
"278.3","Localized adiposity","278-278.99","Both",1,1,3,"endocrine/metabolic"
"278.4","Abnormal weight gain","278-278.99","Both",1,1,3,"endocrine/metabolic"
"279","Disorders involving the immune mechanism","279-279.99","",1,0,3,"endocrine/metabolic"
"279.1","Immunity deficiency","279-279.99","Both",1,0,3,"endocrine/metabolic"
"279.11","Deficiency of humoral immunity","279-279.99","Both",1,1,3,"endocrine/metabolic"
"279.2","Autoimmune disease NEC","279-279.99","Both",1,1,3,"endocrine/metabolic"
"279.7","Other immunological findings","279-279.99","Both",0,1,3,"endocrine/metabolic"
"279.8","Other specified disorders involving the immune mechanism","279-279.99","Both",1,1,3,"endocrine/metabolic"
"280","Iron deficiency anemias","280-285.99","",1,0,4,"hematopoietic"
"280.1","Iron deficiency anemias, unspecified or not due to blood loss","280-285.99","Both",1,1,4,"hematopoietic"
"280.2","Iron deficiency anemia secondary to blood loss (chronic)","280-285.99","Both",1,1,4,"hematopoietic"
"281","Other deficiency anemia","280-285.99","",1,0,4,"hematopoietic"
"281.1","Megaloblastic anemia","280-285.99","",1,0,4,"hematopoietic"
"281.11","Pernicious anemia","280-285.99","Both",1,1,4,"hematopoietic"
"281.12","Other vitamin B12 deficiency anemia","280-285.99","Both",1,1,4,"hematopoietic"
"281.13","Folate-deficiency anemia","280-285.99","Both",1,1,4,"hematopoietic"
"281.9","Deficiency anemias","280-285.99","Both",1,1,4,"hematopoietic"
"282","Hereditary hemolytic anemias","280-285.99","",1,0,4,"hematopoietic"
"282.5","Sickle cell anemia","280-285.99","",1,1,4,"hematopoietic"
"282.8","Other hemoglobinopathies","280-285.99","Both",1,1,4,"hematopoietic"
"282.9","Other hereditary hemolytic anemias","280-285.99","Both",1,1,4,"hematopoietic"
"283","Acquired hemolytic anemias","280-285.99","",1,0,4,"hematopoietic"
"283.1","Autoimmune hemolytic anemias","280-285.99","",1,1,4,"hematopoietic"
"283.2","Non-autoimmune hemolytic anemias","280-285.99","Both",1,0,4,"hematopoietic"
"283.21","Hemolytic-uremic syndrome","280-285.99","Both",1,1,4,"hematopoietic"
"284","Aplastic anemia","280-285.99","",1,0,4,"hematopoietic"
"284.1","Pancytopenia","280-285.99","Both",1,1,4,"hematopoietic"
"284.2","Constitutional aplastic anemia","280-285.99","Both",1,1,4,"hematopoietic"
"285","Other anemias","280-285.99","",1,0,4,"hematopoietic"
"285.1","Acute posthemorrhagic anemia","280-285.99","Both",1,1,4,"hematopoietic"
"285.2","Anemia of chronic disease","280-285.99","Both",1,0,4,"hematopoietic"
"285.21","Anemia in chronic kidney disease","280-285.99","Both",1,1,4,"hematopoietic"
"285.22","Anemia in neoplastic disease","280-285.99","Both",1,1,4,"hematopoietic"
"285.3","Sideroblastic anemia","280-285.99","Both",1,1,4,"hematopoietic"
"285.8","Hemoglobinuria","280-285.99","Both",0,1,4,"hematopoietic"
"286","Coagulation defects","286-287.99","Both",1,0,4,"hematopoietic"
"286.1","Congenital coagulation defects","286-287.99","Both",1,0,4,"hematopoietic"
"286.11","Von willebrand's disease","286-287.99","Both",1,1,4,"hematopoietic"
"286.12","Congenital deficiency of other clotting factors (including factor VII)","286-287.99","Both",1,1,4,"hematopoietic"
"286.13","Congenital factor VIII disorder","286-287.99","Both",1,1,4,"hematopoietic"
"286.2","Encounter for long-term (current) use of anticoagulants","286-287.99","Both",0,1,4,"hematopoietic"
"286.3","Coagulation defects complicating pregnancy or postpartum","286-287.99","Female",0,1,4,"hematopoietic"
"286.4","Acquired coagulation factor deficiency","286-287.99","Both",1,1,4,"hematopoietic"
"286.5","Hemorrhagic disorder due to intrinsic circulating anticoagulants","286-287.99","Both",1,1,4,"hematopoietic"
"286.6","Defibrination syndrome","286-287.99","Both",1,1,4,"hematopoietic"
"286.7","Other and unspecified coagulation defects","286-287.99","Both",1,1,4,"hematopoietic"
"286.8","Hypercoagulable state","286-287.99","Both",1,0,4,"hematopoietic"
"286.81","Primary hypercoagulable state","286-287.99","Both",1,1,4,"hematopoietic"
"286.9","Abnormal coagulation profile","286-287.99","Both",1,1,4,"hematopoietic"
"287","Purpura and other hemorrhagic conditions","286-287.99","",1,0,4,"hematopoietic"
"287.1","Spontaneous ecchymoses","286-287.99","Both",0,1,4,"hematopoietic"
"287.2","Allergic purpura","286-287.99","Both",1,1,4,"hematopoietic"
"287.3","Thrombocytopenia","286-287.99","Both",1,0,4,"hematopoietic"
"287.31","Primary thrombocytopenia","286-287.99","Both",1,1,4,"hematopoietic"
"287.32","Secondary thrombocytopenia","286-287.99","Both",1,1,4,"hematopoietic"
"287.4","Qualitative platelet defects","286-287.99","Both",1,1,4,"hematopoietic"
"288","Diseases of white blood cells","288-289.99","Both",1,0,4,"hematopoietic"
"288.1","Decreased white blood cell count","288-289.99","Both",0,0,4,"hematopoietic"
"288.11","Neutropenia","288-289.99","Both",1,1,4,"hematopoietic"
"288.2","Elevated white blood cell count","288-289.99","Both",1,1,4,"hematopoietic"
"288.3","Eosinophilia","288-289.99","Both",1,1,4,"hematopoietic"
"289","Other diseases of blood and blood-forming organs","288-289.99","",1,0,4,"hematopoietic"
"289.1","Myelofibrosis","288-289.99","Both",1,1,4,"hematopoietic"
"289.3","Personal history of diseases of blood and blood-forming organs","288-289.99","Both",1,1,4,"hematopoietic"
"289.4","Lymphadenitis","288-289.99","Both",0,1,4,"hematopoietic"
"289.5","Diseases of spleen","288-289.99","Both",0,1,4,"hematopoietic"
"289.8","Polycythemia, secondary","288-289.99, 200-200.99","Both",0,1,4,"hematopoietic"
"289.9","Abnormality of red blood cells","288-289.99","Both",1,1,4,"hematopoietic"
"290","Delirium dementia and amnestic and other cognitive disorders","290-292.99","",1,0,5,"mental disorders"
"290.1","Dementias","290-292.99","Both",1,0,5,"mental disorders"
"290.11","Alzheimer's disease","290-292.99","Both",1,1,5,"mental disorders"
"290.12","Dementia with cerebral degenerations","290-292.99","Both",1,1,5,"mental disorders"
"290.13","Senile dementia","290-292.99","Both",1,1,5,"mental disorders"
"290.16","Vascular dementia","290-292.99","Both",1,1,5,"mental disorders"
"290.2","Delirium due to conditions classified elsewhere","290-292.99","Both",1,1,5,"mental disorders"
"290.3","Other persistent mental disorders due to conditions classified elsewhere","290-292.99","Both",0,1,5,"mental disorders"
"291","Other specified nonpsychotic and/or transient mental disorders","290-292.99","",1,0,5,"mental disorders"
"291.1","Transient mental disorders due to conditions classified elsewhere","290-292.99","Both",1,1,5,"mental disorders"
"291.4","Specific nonpsychotic mental disorders due to brain damage","290-292.99","Both",1,1,5,"mental disorders"
"291.8","Alteration of consciousness","290-292.99","Both",1,1,5,"mental disorders"
"292","Neurological disorders","290-292.99","Both",1,0,5,"mental disorders"
"292.1","Aphasia/speech disturbance","290-292.99","Both",1,0,5,"mental disorders"
"292.11","Aphasia","290-292.99","Both",1,1,5,"mental disorders"
"292.12","Symbolic dysfunction","290-292.99","Both",1,1,5,"mental disorders"
"292.2","Mild cognitive impairment","290-292.99","Both",1,1,5,"mental disorders"
"292.3","Memory loss","290-292.99","Both",1,1,5,"mental disorders"
"292.4","Altered mental status","290-292.99","Both",1,1,5,"mental disorders"
"292.5","Transient alteration of awareness","290-292.99","Both",1,1,5,"mental disorders"
"292.6","Hallucinations","290-292.99","Both",1,1,5,"mental disorders"
"293","Symptoms involving head and neck","293-293.99","",1,1,5,"mental disorders"
"293.1","Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]","293-293.99","Both",0,1,5,"mental disorders"
"295","Schizophrenia and other psychotic disorders","295-306.99","",1,0,5,"mental disorders"
"295.1","Schizophrenia","295-306.99","Both",1,1,5,"mental disorders"
"295.2","Paranoid disorders","295-306.99","Both",1,1,5,"mental disorders"
"295.3","Psychosis","295-306.99","Both",1,1,5,"mental disorders"
"296","Mood disorders","295-306.99","",1,0,5,"mental disorders"
"296.1","Bipolar","295-306.99","",1,1,5,"mental disorders"
"296.2","Depression","295-306.99","",1,0,5,"mental disorders"
"296.22","Major depressive disorder","295-306.99","Both",1,1,5,"mental disorders"
"297","Suicidal ideation or attempt","295-306.99","",1,0,5,"mental disorders"
"297.1","Suicidal ideation","295-306.99","Both",1,1,5,"mental disorders"
"297.2","Suicide or self-inflicted injury","295-306.99","Both",1,1,5,"mental disorders"
"300","Anxiety disorders","295-306.99","Both",1,0,5,"mental disorders"
"300.1","Anxiety disorder","295-306.99","Both",1,0,5,"mental disorders"
"300.11","Generalized anxiety disorder","295-306.99","Both",1,1,5,"mental disorders"
"300.12","Agorophobia, social phobia, and panic disorder","295-306.99","Both",1,1,5,"mental disorders"
"300.13","Phobia","295-306.99","Both",1,1,5,"mental disorders"
"300.2","Generalized anxiety & phobic disorders","295-306.99","Both",1,1,5,"mental disorders"
"300.3","Obsessive-compulsive disorders","295-306.99","Both",1,1,5,"mental disorders"
"300.4","Dysthymic disorder","295-306.99","Both",1,1,5,"mental disorders"
"300.8","Acute reaction to stress","295-306.99","Both",1,1,5,"mental disorders"
"300.9","Posttraumatic stress disorder","295-306.99","Both",1,1,5,"mental disorders"
"301","Personality disorders","295-306.99","",1,0,5,"mental disorders"
"301.1","Schizoid personality disorder","295-306.99","Both",1,1,5,"mental disorders"
"301.2","Antisocial/borderline personality disorder","295-306.99","Both",1,1,5,"mental disorders"
"302","Sexual and gender identity disorders","295-306.99","",1,0,5,"mental disorders"
"302.1","Decreased libido","295-306.99","",1,1,5,"mental disorders"
"303","Psychogenic and somatoform disorders","295-306.99","Both",1,0,5,"mental disorders"
"303.1","Dissociative disorder","295-306.99","Both",0,1,5,"mental disorders"
"303.3","Psychogenic disorder","295-306.99","Both",1,0,5,"mental disorders"
"303.31","Gastrointestinal malfunction arising from mental factors","295-306.99","Both",1,1,5,"mental disorders"
"303.4","Somatoform disorder","295-306.99","Both",1,1,5,"mental disorders"
"304","Adjustment reaction","295-306.99","Both",1,1,5,"mental disorders"
"305.2","Eating disorder","295-306.99","Both",0,0,5,"mental disorders"
"305.21","Anorexia nervosa","295-306.99","Both",1,1,5,"mental disorders"
"306","Other mental disorder","295-306.99","Both",1,0,5,"mental disorders"
"306.1","Mental disorders durring/after pregnancy","295-306.99","Female",0,1,5,"mental disorders"
"306.9","Tension headache","295-306.99","Both",1,1,5,"mental disorders"
"312","Conduct disorders","312-315.99","",1,0,5,"mental disorders"
"312.3","Impulse control disorder","312-315.99","Both",1,1,5,"mental disorders"
"313","Pervasive developmental disorders","312-315.99","",1,0,5,"mental disorders"
"313.1","Attention deficit hyperactivity disorder","312-315.99","Both",1,1,5,"mental disorders"
"313.2","Tics and stuttering","312-315.99","Both",1,1,5,"mental disorders"
"313.3","Autism","312-315.99","Both",1,1,5,"mental disorders"
"315","Develomental delays and disorders","312-315.99","Both",1,0,5,"mental disorders"
"315.1","Learning disorder","312-315.99","Both",0,1,5,"mental disorders"
"315.2","Speech and language disorder","312-315.99","Both",1,1,5,"mental disorders"
"315.3","Mental retardation","312-315.99","Both",1,1,5,"mental disorders"
"316","Substance addiction and disorders","316-319.99","",1,0,5,"mental disorders"
"316.1","Polyneuropathy due to drugs","316-319.99","Both",1,1,5,"mental disorders"
"317","Alcohol-related disorders","316-319.99","",1,0,5,"mental disorders"
"317.1","Alcoholism","316-319.99","Both",1,0,5,"mental disorders"
"317.11","Alcoholic liver damage","316-319.99","Both",1,1,5,"mental disorders"
"318","Tobacco use disorder","316-319.99","Both",1,1,5,"mental disorders"
"320","Meningitis","320-326.9","",1,1,6,"neurological"
"323","Encephalitis","320-326.9","",1,0,6,"neurological"
"323.2","Acute (transverse) myelitis","320-326.9","Both",1,1,6,"neurological"
"323.8","Encephalitis, non-infectious","320-326.9","Both",1,1,6,"neurological"
"324","Other CNS infection and poliomyelitis","320-326.9","",1,0,6,"neurological"
"324.1","Jakob-Creutzfeldt disease","320-326.9","Both",1,1,6,"neurological"
"325","Phlebitis and thrombophlebitis of intracranial venous sinuses","320-326.9","",1,1,6,"neurological"
"327","Sleep disorders","327-328.99","Both",1,0,6,"neurological"
"327.1","Hypersomnia","327-328.99","Both",1,1,6,"neurological"
"327.3","Sleep apnea","327-328.99","Both",0,0,6,"neurological"
"327.31","Central/nonobstroctive sleep apnea","327-328.99","Both",1,1,6,"neurological"
"327.32","Obstructive sleep apnea","327-328.99","Both",1,1,6,"neurological"
"327.4","Insomnia","327-328.99","Both",1,0,6,"neurological"
"327.41","Organic or persistent insomnia","327-328.99","Both",1,1,6,"neurological"
"327.5","Parasomnia","327-328.99","Both",1,1,6,"neurological"
"327.6","Circadian rhythm sleep disorder","327-328.99","Both",1,1,6,"neurological"
"327.7","Sleep related movement disorders","327-328.99","Both",1,0,6,"neurological"
"327.71","Restless legs syndrome","327-328.99","Both",1,1,6,"neurological"
"327.72","Sleep related leg cramps","327-328.99","Both",1,1,6,"neurological"
"331","Other cerebral degenerations","330-337.99, 341-349.99","",1,0,6,"neurological"
"331.1","Hydrocephalus","330-337.99, 341-349.99","Both",1,1,6,"neurological"
"331.9","Cerebral degeneration, unspecified","330-337.99, 341-349.99","Both",1,1,6,"neurological"
"332","Parkinson's disease","330-337.99, 341-349.99","",1,1,6,"neurological"
"333","Extrapyramidal disease and abnormal movement disorders","330-337.99, 341-349.99","Both",1,0,6,"neurological"
"333.1","Essential tremor","330-337.99, 341-349.99","Both",1,1,6,"neurological"
"333.2","Myoclonus","330-337.99, 341-349.99","Both",1,1,6,"neurological"
"333.3","Tics and choreas","330-337.99, 341-349.99","Both",1,1,6,"neurological"
"333.4","Torsion dystonia","330-337.99, 341-349.99","Both",1,1,6,"neurological"
"333.8","Other degenerative diseases of the basal ganglia","330-337.99, 341-349.99","Both",1,1,6,"neurological"
"334","Degenerative disease of the spinal cord","330-337.99, 341-349.99","",1,0,6,"neurological"
"334.1","Spinocerebellar disease","330-337.99, 341-349.99","Both",1,1,6,"neurological"
"334.2","Anterior horn cell disease","330-337.99, 341-349.99","Both",1,0,6,"neurological"
"334.21","Amyotrophic Lateral Sclerosis","330-337.99, 341-349.99","Both",1,1,6,"neurological"
"335","Multiple sclerosis","330-337.99, 341-349.99","",1,1,6,"neurological"
"337","Disorders of the autonomic nervous system","330-337.99, 341-349.99","",1,0,6,"neurological"
"337.1","Peripheral autonomic neuropathy","330-337.99, 341-349.99","Both",1,1,6,"neurological"
"338","Pain","338-338.9","Both",1,0,6,"neurological"
"338.1","Acute pain","338-338.9","Both",1,1,6,"neurological"
"338.2","Chronic pain","338-338.9","Both",1,1,6,"neurological"
"339","Other headache syndromes","339-340.99","",1,1,6,"neurological"
"340","Migraine","339-340.99","",1,0,6,"neurological"
"340.1","Migrain with aura","339-340.99","Both",1,1,6,"neurological"
"341","Other demyelinating diseases of central nervous system","330-337.99, 341-349.99","",1,1,6,"neurological"
"342","Hemiplegia","330-337.99, 341-349.99","",1,1,6,"neurological"
"343","Infantile cerebral palsy","330-337.99, 341-349.99","",1,1,6,"neurological"
"344","Other paralytic syndromes","330-337.99, 341-349.99","",1,1,6,"neurological"
"345","Epilepsy, recurrent seizures, convulsions","330-337.99, 341-349.99","",1,0,6,"neurological"
"345.1","Epilepsy","330-337.99, 341-349.99","Both",1,0,6,"neurological"
"345.11","Generalized convulsive epilepsy","330-337.99, 341-349.99","Both",1,1,6,"neurological"
"345.12","Partial epilepsy","330-337.99, 341-349.99","Both",1,1,6,"neurological"
"345.3","Convulsions","330-337.99, 341-349.99","Both",1,1,6,"neurological"
"346","Abnormal findings on study of brain and/or nervous system","330-337.99, 341-349.99","",1,0,6,"neurological"
"346.1","Nonspecific abnormal findings on radiological and other examination of skull and head","330-337.99, 341-349.99","Both",0,1,6,"neurological"
"346.2","Nonspecific abnormal results of function study of brain and central nervous system","330-337.99, 341-349.99","Both",1,1,6,"neurological"
"346.3","Nonspecific abnormal findings in cerebrospinal fluid","330-337.99, 341-349.99","Both",0,1,6,"neurological"
"347","Cataplexy and narcolepsy","330-337.99, 341-349.99","",1,1,6,"neurological"
"348","Other conditions of brain","330-337.99, 341-349.99","Both",1,0,6,"neurological"
"348.2","Cerebral edema and compression of brain","330-337.99, 341-349.99","Both",1,1,6,"neurological"
"348.4","Cerebral cysts","330-337.99, 341-349.99","Both",1,1,6,"neurological"
"348.7","Coma","330-337.99, 341-349.99","Both",0,1,6,"neurological"
"348.8","Encephalopathy, not elsewhere classified","330-337.99, 341-349.99","Both",1,1,6,"neurological"
"348.9","Other conditions of brain, NOS","330-337.99, 341-349.99","Both",0,1,6,"neurological"
"349","Other and unspecified disorders of the nervous system","330-337.99, 341-349.99","",1,1,6,"neurological"
"350","Abnormal movement","350-350.99","Both",1,0,6,"neurological"
"350.1","Abnormal involuntary movements","350-350.99","Both",1,1,6,"neurological"
"350.2","Abnormality of gait","350-350.99","Both",1,1,6,"neurological"
"350.3","Lack of coordination","350-350.99","Both",1,1,6,"neurological"
"350.5","Abnormal reflex","350-350.99","Both",1,1,6,"neurological"
"350.6","Disturbances of sensation of smell and taste","350-350.99","Both",0,1,6,"neurological"
"351","Other peripheral nerve disorders","351-355.99","",1,1,6,"neurological"
"352","Disorders of other cranial nerves","351-355.99","",1,0,6,"neurological"
"352.1","Trigeminal nerve disorders [CN5]","351-355.99","Both",1,1,6,"neurological"
"352.2","Facial nerve disorders [CN7]","351-355.99","Both",1,1,6,"neurological"
"353","Nerve root and plexus disorders","351-355.99","",1,0,6,"neurological"
"353.1","Nerve plexus lesions","351-355.99","Both",1,1,6,"neurological"
"353.2","Nerve root lesions","351-355.99","Both",1,1,6,"neurological"
"355","Complex regional/central pain syndrome","351-355.99","Both",1,1,6,"neurological"
"355.1","Chronic pain syndrome","351-355.99","Both",0,1,6,"neurological"
"356","Hereditary and idiopathic peripheral neuropathy","356-359.99","",1,1,6,"neurological"
"357","Inflammatory and toxic neuropathy","356-359.99","",1,1,6,"neurological"
"358","Myoneural disorders","356-359.99","",1,0,6,"neurological"
"358.1","Myasthenia gravis","356-359.99","",1,1,6,"neurological"
"359","Muscular dystrophies and other myopathies","356-359.99","",1,0,6,"neurological"
"359.1","Muscular dystrophies","356-359.99","Both",1,1,6,"neurological"
"359.2","Myopathy","356-359.99","Both",1,1,6,"neurological"
"360","Disorders of the globe","360-365.99","",1,0,7,"sense organs"
"360.2","Progressive myopia","360-365.99","Both",1,1,7,"sense organs"
"360.3","Hypotony of eye","360-365.99","Both",1,1,7,"sense organs"
"361","Retinal detachments and defects","360-365.99","",1,0,7,"sense organs"
"361.1","Retinal detachment with retinal defect","360-365.99","Both",1,1,7,"sense organs"
"361.2","Retinoschisis and retinal cysts","360-365.99","Both",1,1,7,"sense organs"
"362","Other retinal disorders","250.70-250.79,360-365.99","",1,0,7,"sense organs"
"362.1","Retinopathy of prematurity","250.70-250.79,360-365.99","Both",1,1,7,"sense organs"
"362.2","Degeneration of macula and posterior pole of retina","250.70-250.79,360-365.99","",1,0,7,"sense organs"
"362.21","Macular degeneration, dry","250.70-250.79,360-365.99","Both",1,1,7,"sense organs"
"362.22","Macular degeneration, wet","250.70-250.79,360-365.99","Both",1,1,7,"sense organs"
"362.23","Cystoid macular degeneration of retina","250.70-250.79,360-365.99","Both",1,1,7,"sense organs"
"362.26","Macular puckering of retina","250.70-250.79,360-365.99","Both",1,1,7,"sense organs"
"362.27","Drusen (degenerative) of retina","250.70-250.79,360-365.99","Both",1,1,7,"sense organs"
"362.29","Macular degeneration (senile) of retina NOS","250.70-250.79,360-365.99","Both",1,1,7,"sense organs"
"362.3","Other nondiabetic retinopathy","250.70-250.79,360-365.99","Both",1,0,7,"sense organs"
"362.31","Separation of retinal layers","250.70-250.79,360-365.99","Both",1,1,7,"sense organs"
"362.4","Retinal vascular changes and abnomalities","250.70-250.79,360-365.99","Both",1,1,7,"sense organs"
"362.5","Toxic maculopathy of retina","250.70-250.79,360-365.99","Both",1,1,7,"sense organs"
"362.6","Peripheral retinal degenerations","250.70-250.79,360-365.99","Both",1,1,7,"sense organs"
"362.7","Hereditary retinal dystrophies","250.70-250.79,360-365.99","Both",1,1,7,"sense organs"
"362.8","Retinal hemorrhage/ischemia","250.70-250.79,360-365.99","Both",1,1,7,"sense organs"
"362.9","Retinal edema","250.70-250.79,360-365.99","Both",1,1,7,"sense organs"
"363","Chorioretinal inflammations, scars, and other disorders of choroid","360-365.99","",1,0,7,"sense organs"
"363.3","Chorioretinal scars","360-365.99","Both",1,1,7,"sense organs"
"363.4","Choroidal degenerations","360-365.99","Both",1,1,7,"sense organs"
"364","Corneal opacity and other disorders of cornea","360-365.99","Both",1,0,7,"sense organs"
"364.1","Corneal opacity","360-365.99","Both",0,1,7,"sense organs"
"364.2","Corneal edema","360-365.99","Both",1,1,7,"sense organs"
"364.4","Corneal degenerations","360-365.99","Both",1,0,7,"sense organs"
"364.41","Keratoconus","360-365.99","Both",1,1,7,"sense organs"
"364.5","Corneal dystrophy","360-365.99","Both",1,0,7,"sense organs"
"364.51","Fuchs' dystrophy","360-365.99","Both",1,1,7,"sense organs"
"364.9","Cornea replaced by transplant","360-365.99","Both",1,1,7,"sense organs"
"365","Glaucoma","360-365.99","",1,0,7,"sense organs"
"365.1","Open-angle glaucoma","360-365.99","Both",1,0,7,"sense organs"
"365.11","Primary open angle glaucoma","360-365.99","Both",1,1,7,"sense organs"
"365.2","Primary angle-closure glaucoma","360-365.99","Both",1,1,7,"sense organs"
"365.5","Pseudoexfoliation glaucoma","360-365.99","Both",1,1,7,"sense organs"
"366","Cataract","366-366.99","Both",1,0,7,"sense organs"
"366.1","Nonsenile Cataract","366-366.99","Both",1,1,7,"sense organs"
"366.2","Senile cataract","366-366.99","Both",1,1,7,"sense organs"
"366.3","Traumatic cataract","366-366.99","Both",1,1,7,"sense organs"
"367","Disorders of refraction and accommodation; blindness and low vision","367-367.99","",1,0,7,"sense organs"
"367.1","Myopia","367-367.99","Both",1,1,7,"sense organs"
"367.2","Astigmatism","367-367.99","Both",1,1,7,"sense organs"
"367.4","Presbyopia","367-367.99","Both",1,0,7,"sense organs"
"367.8","Hypermetropia","367-367.99","Both",1,1,7,"sense organs"
"367.9","Blindness and low vision","367-367.99","Both",1,1,7,"sense organs"
"368","Visual disturbances","368-368.99","",1,0,7,"sense organs"
"368.1","Amblyopia","368-368.99","Both",1,1,7,"sense organs"
